timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2026-02-01T00:20:41.878573+07:00,Lai Châu,72,5.3,94,pm25,20.4
2026-02-01T01:27:24.200079+07:00,Lai Châu,72,4.4,95,pm25,20.4
2026-02-01T02:18:27.086066+07:00,Lai Châu,71,3.8,95,pm25,19.6
2026-02-01T03:21:46.815920+07:00,Lai Châu,71,4,96,pm25,19.6
2026-02-01T04:18:32.269358+07:00,Lai Châu,71,4,97,pm25,19.6
2026-02-01T05:19:18.795203+07:00,Lai Châu,69,4.2,96,pm25,18.8
2026-02-01T06:18:45.990861+07:00,Lai Châu,69,4.3,95,pm25,18.8
2026-02-01T09:03:37.698831+07:00,Lai Châu,66,3.5,83,pm25,17.2
2026-02-01T11:58:16.550006+07:00,Lai Châu,68,6.3,60,pm25,18.1
2026-02-01T13:00:49.325410+07:00,Lai Châu,68,7.5,53,pm25,18.1
2026-02-01T14:35:12.534927+07:00,Lai Châu,67,8,58,pm25,17.7
2026-02-01T15:28:33.206903+07:00,Lai Châu,67,8,56,pm25,17.7
2026-02-01T16:27:29.435667+07:00,Lai Châu,67,7.7,58,pm25,17.7
2026-02-01T17:22:09.540641+07:00,Lai Châu,69,6.3,64,pm25,18.6
2026-02-01T18:18:50.489954+07:00,Lai Châu,69,3.5,84,pm25,18.6
2026-02-01T19:42:20.048436+07:00,Lai Châu,77,5.5,89,pm25,23
2026-02-01T20:40:26.213950+07:00,Lai Châu,77,5.6,93,pm25,23
2026-02-01T21:23:09.070171+07:00,Lai Châu,77,5.6,94,pm25,23
2026-02-01T22:21:24.744972+07:00,Lai Châu,77,5.3,94,pm25,23
2026-02-01T23:25:34.240410+07:00,Lai Châu,84,5.3,95,pm25,26.8
2026-02-02T00:21:35.471899+07:00,Lai Châu,84,5,94,pm25,26.8
2026-02-02T01:30:34.999444+07:00,Lai Châu,84,5,93,pm25,26.8
2026-02-02T02:22:04.345064+07:00,Lai Châu,83,5.2,96,pm25,26.5
2026-02-02T03:22:59.156867+07:00,Lai Châu,83,5.5,97,pm25,26.5
2026-02-02T04:20:18.197029+07:00,Lai Châu,83,5.4,97,pm25,26.5
2026-02-02T05:20:33.406021+07:00,Lai Châu,81,5.6,96,pm25,25
2026-02-02T06:21:04.454464+07:00,Lai Châu,81,5,96,pm25,25
2026-02-02T08:55:50.022911+07:00,Lai Châu,76,4.1,85,pm25,22.5
2026-02-02T11:23:12.570440+07:00,Lai Châu,72,4.7,73,pm25,20.2
2026-02-02T13:01:14.552163+07:00,Lai Châu,72,4.3,70,pm25,20.2
2026-02-02T14:46:55.325015+07:00,Lai Châu,72,4.6,65,pm25,20.2
2026-02-02T15:39:04.249627+07:00,Lai Châu,72,4.9,66,pm25,20.2
2026-02-02T16:43:15.114156+07:00,Lai Châu,72,4.4,67,pm25,20.4
2026-02-02T17:40:38.406189+07:00,Lai Châu,72,4.2,71,pm25,20.4
2026-02-02T18:33:01.800719+07:00,Lai Châu,72,4.8,78,pm25,20.4
2026-02-02T19:53:33.464027+07:00,Lai Châu,77,5.2,90,pm25,23
2026-02-02T21:00:39.538421+07:00,Lai Châu,77,6,93,pm25,23
2026-02-02T22:35:13.545282+07:00,Lai Châu,77,5.3,94,pm25,23
2026-02-02T23:36:00.963571+07:00,Lai Châu,79,4.1,93,pm25,24.3
2026-02-03T00:35:18.500009+07:00,Lai Châu,79,3.1,92,pm25,24.3
2026-02-03T01:38:41.346167+07:00,Lai Châu,82,2.2,93,pm25,26
2026-02-03T06:25:18.535537+07:00,Lai Châu,77,2.6,95,pm25,23
2026-02-03T08:54:40.876242+07:00,Lai Châu,77,3.1,85,pm25,23.2
2026-02-03T11:12:41.742173+07:00,Lai Châu,82,8.2,62,pm25,25.6
2026-02-03T12:47:30.622524+07:00,Lai Châu,82,8.8,55,pm25,25.6
2026-02-03T13:45:56.666840+07:00,Lai Châu,78,9.1,50,pm25,23.8
2026-02-03T14:39:54.957399+07:00,Lai Châu,78,7,50,pm25,23.8
2026-02-03T15:32:39.906478+07:00,Lai Châu,78,7,49,pm25,23.8
2026-02-03T16:37:34.438241+07:00,Lai Châu,78,6,50,pm25,23.8
2026-02-03T17:36:19.055165+07:00,Lai Châu,77,5,55,pm25,23.2
2026-02-03T18:31:49.440863+07:00,Lai Châu,77,5,72,pm25,23.2
2026-02-03T19:53:33.533197+07:00,Lai Châu,83,6,78,pm25,26.5
2026-02-03T21:02:46.390754+07:00,Lai Châu,83,6,81,pm25,26.5
2026-02-03T22:45:25.454763+07:00,Lai Châu,91,5,83,pm25,30.8
2026-02-03T23:49:21.612288+07:00,Lai Châu,91,5,85,pm25,30.8
2026-02-04T00:50:38.243518+07:00,Lai Châu,91,4,87,pm25,30.8
2026-02-04T01:52:47.186300+07:00,Lai Châu,93,4,89,pm25,31.8
2026-02-04T02:42:31.988744+07:00,Lai Châu,93,4,93,pm25,31.8
2026-02-04T03:32:08.737349+07:00,Lai Châu,93,3,94,pm25,31.8
2026-02-04T04:31:07.958355+07:00,Lai Châu,93,3,96,pm25,31.8
2026-02-04T05:26:49.633842+07:00,Lai Châu,94,3,96,pm25,32.5
2026-02-04T06:25:24.674277+07:00,Lai Châu,94,2,97,pm25,32.5
2026-02-04T08:49:29.266465+07:00,Lai Châu,90,1,81,pm25,30.4
2026-02-04T11:09:02.717770+07:00,Lai Châu,87,5,56,pm25,28.3
2026-02-04T12:45:25.446668+07:00,Lai Châu,87,7,43,pm25,28.3
2026-02-04T13:46:15.210018+07:00,Lai Châu,80,7,40,pm25,24.5
2026-02-04T14:41:21.498189+07:00,Lai Châu,80,6,37,pm25,24.5
2026-02-04T15:36:25.167954+07:00,Lai Châu,80,5,35,pm25,24.5
2026-02-04T16:39:31.459029+07:00,Lai Châu,72,3,36,pm25,20.6
2026-02-04T17:35:21.659527+07:00,Lai Châu,72,3,42,pm25,20.6
2026-02-04T18:30:57.409316+07:00,Lai Châu,72,6,53,pm25,20.6
2026-02-04T19:53:01.013595+07:00,Lai Châu,73,7,57,pm25,20.9
2026-02-04T21:00:59.002449+07:00,Lai Châu,73,7,59,pm25,20.9
2026-02-04T22:39:16.015778+07:00,Lai Châu,79,5,63,pm25,24.1
2026-02-04T23:42:12.765882+07:00,Lai Châu,79,5,65,pm25,24.1
2026-02-05T00:42:33.121952+07:00,Lai Châu,79,4,68,pm25,24.1
2026-02-05T01:43:30.350970+07:00,Lai Châu,79,4,73,pm25,24.2
2026-02-05T02:36:33.057415+07:00,Lai Châu,79,3,80,pm25,24.2
2026-02-05T03:30:11.608723+07:00,Lai Châu,79,3,83,pm25,24.2
2026-02-05T04:29:45.573418+07:00,Lai Châu,79,3,85,pm25,24.2
2026-02-05T05:24:10.534659+07:00,Lai Châu,78,3,87,pm25,23.8
2026-02-05T06:24:00.245302+07:00,Lai Châu,78,4,90,pm25,23.8
2026-02-05T08:51:13.953221+07:00,Lai Châu,80,1,74,pm25,24.4
2026-02-05T11:12:15.144041+07:00,Lai Châu,74,6,49,pm25,21.6
2026-02-05T12:52:58.796416+07:00,Lai Châu,74,7,37,pm25,21.6
2026-02-05T13:54:54.735945+07:00,Lai Châu,69,6,32,pm25,18.8
2026-02-05T14:48:01.124521+07:00,Lai Châu,69,6,31,pm25,18.8
2026-02-05T15:38:23.277943+07:00,Lai Châu,69,5,28,pm25,18.8
2026-02-05T16:40:21.716433+07:00,Lai Châu,65,5,28,pm25,16.6
2026-02-05T17:37:13.341822+07:00,Lai Châu,65,2,36,pm25,16.6
2026-02-05T18:32:52.142229+07:00,Lai Châu,65,5,44,pm25,16.6
2026-02-05T19:55:32.608786+07:00,Lai Châu,72,7,45,pm25,20.7
2026-02-05T21:04:22.424911+07:00,Lai Châu,72,6,46,pm25,20.7
2026-02-05T22:37:41.070678+07:00,Lai Châu,72,5,48,pm25,20.7
2026-02-05T23:42:41.896219+07:00,Lai Châu,83,4,50,pm25,26.5
2026-02-06T00:43:47.641378+07:00,Lai Châu,83,2,54,pm25,26.5
2026-02-06T01:43:18.948298+07:00,Lai Châu,83,4,56,pm25,26.5
2026-02-06T02:34:59.058666+07:00,Lai Châu,83,3,55,pm25,26.5
2026-02-06T03:30:03.561933+07:00,Lai Châu,83,3,58,pm25,26.5
2026-02-06T04:25:44.133640+07:00,Lai Châu,83,3,61,pm25,26.5
2026-02-06T05:23:45.178521+07:00,Lai Châu,84,4,63,pm25,27
2026-02-06T06:20:34.751585+07:00,Lai Châu,84,3,66,pm25,27
2026-02-06T08:50:06.370247+07:00,Lai Châu,82,1,57,pm25,25.6
2026-02-06T11:12:24.175778+07:00,Lai Châu,81,6,40,pm25,25.3
2026-02-06T12:51:06.174720+07:00,Lai Châu,81,6,30,pm25,25.3
2026-02-06T13:50:37.417854+07:00,Lai Châu,73,7,24,pm25,20.8
2026-02-06T14:43:28.466260+07:00,Lai Châu,73,5,22,pm25,20.8
2026-02-06T15:37:24.845897+07:00,Lai Châu,73,5,21,pm25,20.8
2026-02-06T16:39:31.059329+07:00,Lai Châu,66,4,21,pm25,17.2
2026-02-06T17:35:54.116929+07:00,Lai Châu,66,2,29,pm25,17.2
2026-02-06T18:30:38.338527+07:00,Lai Châu,66,6,34,pm25,17.2
2026-02-06T19:53:00.236715+07:00,Lai Châu,67,8,36,pm25,17.9
2026-02-06T20:59:59.680483+07:00,Lai Châu,67,7,38,pm25,17.9
2026-02-06T21:50:13.631154+07:00,Lai Châu,67,6,40,pm25,17.9
2026-02-06T22:36:35.937390+07:00,Lai Châu,67,6,43,pm25,17.9
2026-02-06T23:40:15.346896+07:00,Lai Châu,77,6,49,pm25,23
