timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-12-01T00:14:02.085239+07:00,Thái Bình,84,10.4,91,pm25,27
2025-12-01T01:23:02.244194+07:00,Thái Bình,69,7.6,93,pm25,18.5
2025-12-01T02:13:25.830205+07:00,Thái Bình,69,8.4,93,pm25,18.5
2025-12-01T03:18:18.193178+07:00,Thái Bình,144,9.9,94,pm25,53.1
2025-12-01T04:14:32.728905+07:00,Thái Bình,155,10.3,93,pm25,61.7
2025-12-01T05:15:58.487657+07:00,Thái Bình,155,11.3,91,pm25,61.7
2025-12-01T06:15:21.318714+07:00,Thái Bình,171,12.4,90,pm25,84.3
2025-12-01T08:42:17.353509+07:00,Thái Bình,190,13.1,83,pm25,110.6
2025-12-01T10:48:17.529876+07:00,Thái Bình,206,11.9,74,pm25,131.1
2025-12-01T11:46:37.033870+07:00,Thái Bình,207,12.6,70,pm25,131.5
2025-12-01T12:25:23.381670+07:00,Thái Bình,211,11.8,70,pm25,135.5
2025-12-01T13:29:01.177702+07:00,Thái Bình,205,6.1,66,pm25,129.7
2025-12-01T14:20:32.091692+07:00,Thái Bình,200,5.8,64,pm25,124.9
2025-12-01T15:27:09.145765+07:00,Thái Bình,192,8.9,66,pm25,113.6
2025-12-01T16:25:01.797579+07:00,Thái Bình,187,12,69,pm25,106.7
2025-12-01T17:20:18.230302+07:00,Thái Bình,180,13.7,77,pm25,96.3
2025-12-01T18:15:37.529498+07:00,Thái Bình,178,14.4,85,pm25,94.6
2025-12-01T19:37:14.550856+07:00,Thái Bình,182,16.1,89,pm25,99.4
2025-12-01T20:33:08.660172+07:00,Thái Bình,170,12.7,88,pm25,82.7
2025-12-01T21:18:30.742610+07:00,Thái Bình,158,10.5,89,pm25,65.6
2025-12-01T22:19:05.320195+07:00,Thái Bình,155,7.5,90,pm25,60.7
2025-12-01T23:24:50.581855+07:00,Thái Bình,146,7.7,88,pm25,53.7
2025-12-02T00:19:16.528179+07:00,Thái Bình,158,7,87,pm25,65
2025-12-02T01:28:39.537468+07:00,Thái Bình,82,6.9,88,pm25,25.7
2025-12-02T02:18:56.142782+07:00,Thái Bình,95,6.7,87,pm25,32.6
2025-12-02T03:17:55.127039+07:00,Thái Bình,119,5.7,87,pm25,42.9
2025-12-02T04:14:39.591189+07:00,Thái Bình,138,5.1,88,pm25,50.7
2025-12-02T05:14:39.736107+07:00,Thái Bình,140,4,88,pm25,51.3
2025-12-02T06:16:32.270383+07:00,Thái Bình,155,4.3,87,pm25,60.8
2025-12-02T08:19:48.676794+07:00,Thái Bình,145,3.4,86,pm25,53.5
2025-12-02T10:16:14.440726+07:00,Thái Bình,105,3.5,78,pm25,37.1
2025-12-02T11:27:43.911305+07:00,Thái Bình,93,1.3,76,pm25,31.8
2025-12-02T12:17:28.789961+07:00,Thái Bình,96,1.7,76,pm25,33
2025-12-02T13:28:30.073129+07:00,Thái Bình,81,3.4,71,pm25,25.3
2025-12-02T14:19:28.555654+07:00,Thái Bình,75,5.5,70,pm25,21.9
2025-12-02T15:25:34.900362+07:00,Thái Bình,85,6,72,pm25,27.2
2025-12-02T16:23:15.761912+07:00,Thái Bình,86,6.6,74,pm25,28.1
2025-12-02T17:19:42.270062+07:00,Thái Bình,102,7,79,pm25,35.9
2025-12-02T18:17:02.080057+07:00,Thái Bình,116,7.8,84,pm25,41.6
2025-12-02T19:37:47.821859+07:00,Thái Bình,99,8.1,87,pm25,34.9
2025-12-02T20:34:27.722503+07:00,Thái Bình,82,8.9,78,pm25,26
2025-12-02T21:19:03.761658+07:00,Thái Bình,81,9.7,77,pm25,25.4
2025-12-02T22:19:52.854895+07:00,Thái Bình,77,9.1,72,pm25,22.8
2025-12-02T23:23:56.361089+07:00,Thái Bình,80,7.3,76,pm25,25
2025-12-03T00:20:01.595812+07:00,Thái Bình,89,4.3,78,pm25,29.5
2025-12-03T01:27:56.176716+07:00,Thái Bình,101,4.8,76,pm25,35.5
2025-12-03T02:16:56.997343+07:00,Thái Bình,97,2.3,79,pm25,33.7
2025-12-03T03:21:25.615542+07:00,Thái Bình,104,6.4,82,pm25,36.8
2025-12-03T04:17:10.944600+07:00,Thái Bình,109,9,83,pm25,38.8
2025-12-03T05:15:21.399215+07:00,Thái Bình,114,10.2,84,pm25,40.8
2025-12-03T06:16:09.493743+07:00,Thái Bình,122,9.6,83,pm25,44.2
2025-12-03T08:20:05.045797+07:00,Thái Bình,139,11.2,77,pm25,50.8
2025-12-03T10:14:54.811523+07:00,Thái Bình,153,10.7,73,pm25,59.1
2025-12-03T11:26:24.547597+07:00,Thái Bình,146,6.5,73,pm25,53.6
2025-12-03T12:17:29.548284+07:00,Thái Bình,99,3,79,pm25,34.6
2025-12-03T13:27:57.545349+07:00,Thái Bình,94,8.7,70,pm25,32
2025-12-03T14:19:16.142641+07:00,Thái Bình,26,9.1,69,pm10,28.9
