timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-05-17T23:00:19.855029+07:00,Hải Dương,69,13.2,95,pm25,18.8
2025-05-17T23:21:51.171022+07:00,Hải Dương,69,11.1,97,pm25,18.8
2025-05-17T23:35:41.340809+07:00,Hải Dương,69,11.1,97,pm25,18.8
2025-05-18T00:12:59.619515+07:00,Hải Dương,69,10.4,98,pm25,18.8
2025-05-18T01:20:22.440502+07:00,Hải Dương,69,9,98,pm25,18.8
2025-05-18T02:12:51.395629+07:00,Hải Dương,70,6.8,97,pm25,19.3
2025-05-18T03:16:39.496216+07:00,Hải Dương,70,6.5,96,pm25,19.3
2025-05-18T04:13:56.421033+07:00,Hải Dương,70,7.2,96,pm25,19.3
2025-05-18T05:14:02.436257+07:00,Hải Dương,69,6.4,97,pm25,18.8
2025-05-18T06:14:36.504632+07:00,Hải Dương,69,5.9,95,pm25,18.8
2025-05-18T08:22:40.656554+07:00,Hải Dương,74,9,81,pm25,21.5
