timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-07-01T00:15:09.537858+07:00,Hải Dương,79,10.3,91,pm25,24.4
2025-07-01T01:23:41.890241+07:00,Hải Dương,79,9.8,92,pm25,24.4
2025-07-01T02:13:03.525200+07:00,Hải Dương,75,9.3,93,pm25,22
2025-07-01T03:18:13.752625+07:00,Hải Dương,75,10.8,89,pm25,22
2025-07-01T04:15:45.845318+07:00,Hải Dương,75,12.1,93,pm25,22
2025-07-01T05:16:13.702216+07:00,Hải Dương,67,12.6,94,pm25,17.8
2025-07-01T06:15:47.095975+07:00,Hải Dương,67,12.1,93,pm25,17.8
2025-07-01T08:38:32.869777+07:00,Hải Dương,69,16.1,88,pm25,19
2025-07-01T10:27:33.022470+07:00,Hải Dương,69,17.5,87,pm25,19
2025-07-01T11:35:30.781779+07:00,Hải Dương,69,18.4,87,pm25,18.6
2025-07-01T12:20:34.545469+07:00,Hải Dương,69,18.3,82,pm25,18.6
2025-07-01T13:26:02.071498+07:00,Hải Dương,69,16.3,78,pm25,18.6
2025-07-01T14:18:10.661746+07:00,Hải Dương,63,20.4,72,pm25,15.4
2025-07-01T15:23:29.497981+07:00,Hải Dương,63,22,74,pm25,15.4
2025-07-01T16:20:05.731718+07:00,Hải Dương,63,20.6,77,pm25,15.4
2025-07-01T17:18:43.151865+07:00,Hải Dương,58,20.9,79,pm25,12.6
2025-07-01T18:15:19.011940+07:00,Hải Dương,58,20.1,80,pm25,12.6
2025-07-01T19:35:14.579889+07:00,Hải Dương,64,14.6,85,pm25,16.2
2025-07-01T20:31:26.883547+07:00,Hải Dương,64,13.9,87,pm25,16.2
2025-07-01T21:16:19.169031+07:00,Hải Dương,64,14.4,90,pm25,16.2
2025-07-01T22:18:12.726905+07:00,Hải Dương,64,14.4,89,pm25,16.2
2025-07-01T23:21:25.612619+07:00,Hải Dương,70,12.9,88,pm25,19.5
2025-07-02T00:15:45.371575+07:00,Hải Dương,70,11,89,pm25,19.5
2025-07-02T01:23:15.247920+07:00,Hải Dương,70,9.9,89,pm25,19.5
2025-07-02T02:13:06.683168+07:00,Hải Dương,63,10.6,91,pm25,15.8
2025-07-02T03:18:22.406794+07:00,Hải Dương,63,10.3,90,pm25,15.8
2025-07-02T04:15:44.142876+07:00,Hải Dương,63,9.5,91,pm25,15.8
2025-07-02T05:15:54.019814+07:00,Hải Dương,65,8.6,93,pm25,16.7
2025-07-02T06:15:55.943722+07:00,Hải Dương,65,8.4,94,pm25,16.7
2025-07-02T08:20:42.614942+07:00,Hải Dương,69,14.7,87,pm25,18.9
2025-07-02T10:16:30.837798+07:00,Hải Dương,69,18.4,77,pm25,18.9
2025-07-02T11:27:12.198957+07:00,Hải Dương,65,19.1,82,pm25,16.6
2025-07-02T12:19:09.783534+07:00,Hải Dương,65,21.2,71,pm25,16.6
2025-07-02T13:25:39.278358+07:00,Hải Dương,65,23.8,76,pm25,16.6
2025-07-02T14:17:09.175670+07:00,Hải Dương,62,23.2,77,pm25,15.2
2025-07-02T15:23:03.867547+07:00,Hải Dương,62,22.8,75,pm25,15.2
2025-07-02T16:19:43.813882+07:00,Hải Dương,62,20.3,78,pm25,15.2
