timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-08-01T00:18:17.432602+07:00,Hồ Chí Minh,64,15,80,pm25,16
2025-08-01T01:26:52.802751+07:00,Hồ Chí Minh,60,13.5,81,pm25,14
2025-08-01T02:17:13.485055+07:00,Hồ Chí Minh,60,12.3,83,pm25,13.9
2025-08-01T03:19:38.533371+07:00,Hồ Chí Minh,58,11.2,84,pm25,13
2025-08-01T04:16:53.201105+07:00,Hồ Chí Minh,60,10,84,pm25,13.9
2025-08-01T05:17:15.418375+07:00,Hồ Chí Minh,62,9.8,86,pm25,15
2025-08-01T06:17:26.799506+07:00,Hồ Chí Minh,64,9.6,88,pm25,16
2025-08-01T08:44:55.545702+07:00,Hồ Chí Minh,66,14.7,82,pm25,17
2025-08-01T10:53:08.245733+07:00,Hồ Chí Minh,64,16.7,71,pm25,15.9
2025-08-01T11:51:27.798374+07:00,Hồ Chí Minh,60,16.7,68,pm25,14
2025-08-01T12:29:19.545971+07:00,Hồ Chí Minh,58,17.6,64,pm25,13
2025-08-01T13:28:38.481397+07:00,Hồ Chí Minh,56,16.8,60,pm25,12
2025-08-01T14:23:27.658863+07:00,Hồ Chí Minh,56,14.9,61,pm25,12
2025-08-01T15:24:39.278201+07:00,Hồ Chí Minh,62,17.9,61,pm25,15
2025-08-01T16:23:24.973528+07:00,Hồ Chí Minh,62,20.2,63,pm25,15
2025-08-01T17:19:27.514930+07:00,Hồ Chí Minh,62,15.2,65,pm25,15
2025-08-01T18:15:30.386264+07:00,Hồ Chí Minh,61,14.5,70,pm25,14.5
2025-08-01T19:36:58.140417+07:00,Hồ Chí Minh,60,18.2,64,pm25,14
2025-08-01T20:35:41.324047+07:00,Hồ Chí Minh,62,18.8,73,pm25,15
2025-08-01T21:19:04.048267+07:00,Hồ Chí Minh,63,17.3,73,pm25,15.5
2025-08-01T22:19:06.603707+07:00,Hồ Chí Minh,59,15.5,74,pm25,13.5
2025-08-01T23:22:57.988252+07:00,Hồ Chí Minh,56,14.2,76,pm25,12
2025-08-02T00:19:07.803848+07:00,Hồ Chí Minh,56,12.5,77,pm25,12
2025-08-02T01:25:15.959746+07:00,Hồ Chí Minh,56,11,77,pm25,12
2025-08-02T02:16:20.059344+07:00,Hồ Chí Minh,62,10.8,82,pm25,15
2025-08-02T03:19:24.165396+07:00,Hồ Chí Minh,66,9.9,83,pm25,17
2025-08-02T04:17:01.676374+07:00,Hồ Chí Minh,69,8,83,pm25,19
2025-08-02T05:16:57.083136+07:00,Hồ Chí Minh,71,7.5,84,pm25,20
2025-08-02T06:17:13.193011+07:00,Hồ Chí Minh,85,6.7,83,pm25,27.3
2025-08-02T08:22:51.523154+07:00,Hồ Chí Minh,80,11.7,80,pm25,24.9
2025-08-02T10:23:19.059909+07:00,Hồ Chí Minh,69,14,70,pm25,19
2025-08-02T11:32:40.987096+07:00,Hồ Chí Minh,66,14.2,64,pm25,17
2025-08-02T12:20:45.806031+07:00,Hồ Chí Minh,64,14.9,60,pm25,16
2025-08-02T13:24:06.123686+07:00,Hồ Chí Minh,59,14.7,50,pm25,13.5
2025-08-02T14:16:21.429986+07:00,Hồ Chí Minh,59,14.7,57,pm25,13.5
2025-08-02T15:21:12.978846+07:00,Hồ Chí Minh,65,16.2,58,pm25,16.5
2025-08-02T16:19:48.950221+07:00,Hồ Chí Minh,74,15.9,57,pm25,21.5
2025-08-02T17:17:39.749950+07:00,Hồ Chí Minh,66,14.5,59,pm25,17
2025-08-02T18:14:45.688710+07:00,Hồ Chí Minh,66,11.6,64,pm25,17
2025-08-02T19:33:47.852530+07:00,Hồ Chí Minh,71,11.3,64,pm25,19.9
2025-08-02T20:28:02.120650+07:00,Hồ Chí Minh,71,12.1,72,pm25,20
2025-08-02T21:15:59.547465+07:00,Hồ Chí Minh,66,11.3,73,pm25,17
2025-08-02T22:16:51.621349+07:00,Hồ Chí Minh,58,10.4,74,pm25,13
2025-08-02T23:20:10.650898+07:00,Hồ Chí Minh,59,10.1,73,pm25,13.5
2025-08-03T00:14:28.201329+07:00,Hồ Chí Minh,60,8.8,74,pm25,14
2025-08-03T01:23:46.022495+07:00,Hồ Chí Minh,61,8.6,77,pm25,14.5
2025-08-03T02:13:20.275466+07:00,Hồ Chí Minh,66,8.7,82,pm25,17
2025-08-03T03:18:03.135218+07:00,Hồ Chí Minh,70,8,82,pm25,19.5
2025-08-03T04:15:42.064336+07:00,Hồ Chí Minh,75,8.4,84,pm25,22
2025-08-03T05:16:14.177637+07:00,Hồ Chí Minh,77,7,85,pm25,23
2025-08-03T06:17:46.489920+07:00,Hồ Chí Minh,74,3.9,86,pm25,21.4
2025-08-03T08:42:55.455395+07:00,Hồ Chí Minh,80,6.3,78,pm25,24.9
2025-08-03T10:48:12.615131+07:00,Hồ Chí Minh,73,10.6,68,pm25,20.9
2025-08-03T11:45:25.441535+07:00,Hồ Chí Minh,74,11.7,64,pm25,21.5
2025-08-03T12:24:12.671924+07:00,Hồ Chí Minh,77,12.4,59,pm25,23
2025-08-03T13:24:03.967697+07:00,Hồ Chí Minh,69,13.1,49,pm25,19
2025-08-03T14:16:03.150736+07:00,Hồ Chí Minh,69,15.6,55,pm25,19
2025-08-03T15:21:16.213657+07:00,Hồ Chí Minh,71,19.1,56,pm25,20
2025-08-03T16:17:04.311836+07:00,Hồ Chí Minh,69,20.2,57,pm25,19
2025-08-03T17:17:39.420192+07:00,Hồ Chí Minh,73,13.5,55,pm25,21
2025-08-03T18:14:49.355752+07:00,Hồ Chí Minh,74,10.6,62,pm25,21.5
2025-08-03T19:35:18.994804+07:00,Hồ Chí Minh,67,9,63,pm25,18
2025-08-03T20:30:13.514812+07:00,Hồ Chí Minh,68,10.8,81,pm25,18
2025-08-03T21:14:58.538412+07:00,Hồ Chí Minh,68,12.6,76,pm25,18
2025-08-03T22:16:51.989031+07:00,Hồ Chí Minh,70,12.1,76,pm25,19.4
2025-08-03T23:20:27.824965+07:00,Hồ Chí Minh,69,11,76,pm25,18.5
2025-08-04T00:15:39.885835+07:00,Hồ Chí Minh,64,9.6,78,pm25,16
2025-08-04T01:24:25.951598+07:00,Hồ Chí Minh,64,9.1,79,pm25,16
2025-08-04T02:13:55.532832+07:00,Hồ Chí Minh,65,9,78,pm25,16.5
2025-08-04T03:19:11.008138+07:00,Hồ Chí Minh,64,7.3,80,pm25,16
2025-08-04T04:16:21.461443+07:00,Hồ Chí Minh,66,5.8,83,pm25,16.9
2025-08-04T05:16:45.621657+07:00,Hồ Chí Minh,66,5.9,85,pm25,17
2025-08-04T06:17:23.687105+07:00,Hồ Chí Minh,66,6.4,86,pm25,17
2025-08-04T08:43:01.230570+07:00,Hồ Chí Minh,75,7.3,79,pm25,21.9
2025-08-04T10:53:29.702271+07:00,Hồ Chí Minh,69,10.6,71,pm25,19
