timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-05-15T18:54:22.282345+07:00,Hồ Chí Minh,44,6.4,76,pm25,8
2025-05-15T19:17:56.014389+07:00,Hồ Chí Minh,33,14.5,75,pm25,6
2025-05-15T23:29:18.532366+07:00,Hồ Chí Minh,56,1.6,79,pm25,12
2025-05-16T00:14:28.543242+07:00,Hồ Chí Minh,65,4.8,80,pm25,16.5
2025-05-16T01:22:46.344865+07:00,Hồ Chí Minh,84,8.1,81,pm25,27
2025-05-16T02:12:50.870390+07:00,Hồ Chí Minh,111,7.9,81,pm25,39.5
2025-05-16T03:18:12.896739+07:00,Hồ Chí Minh,108,1.6,84,pm25,38.5
2025-05-16T04:15:12.114520+07:00,Hồ Chí Minh,111,3.2,84,pm25,39.5
2025-05-16T05:15:16.308496+07:00,Hồ Chí Minh,96,4.8,85,pm25,33.2
2025-05-16T06:15:30.707313+07:00,Hồ Chí Minh,99,8.1,84,pm25,34.8
2025-05-16T08:18:08.957684+07:00,Hồ Chí Minh,101,3.2,75,pm25,35.7
2025-05-16T10:10:10.531304+07:00,Hồ Chí Minh,62,4.8,68,pm25,15
2025-05-16T11:20:42.644429+07:00,Hồ Chí Minh,66,3.2,66,pm25,16.9
2025-05-16T12:16:59.660873+07:00,Hồ Chí Minh,57,3.2,64,pm25,12.5
2025-05-16T13:23:48.663194+07:00,Hồ Chí Minh,55,9.6,57,pm25,11
2025-05-16T14:15:58.314496+07:00,Hồ Chí Minh,53,9.6,65,pm25,10
2025-05-16T15:21:33.396207+07:00,Hồ Chí Minh,50,4.8,68,pm25,9
2025-05-16T16:17:14.086441+07:00,Hồ Chí Minh,44,9.6,67,pm25,8
2025-05-16T17:17:37.157743+07:00,Hồ Chí Minh,49,22.7,73,pm25,9
2025-05-16T18:13:44.596193+07:00,Hồ Chí Minh,53,16.1,72,pm25,10.5
2025-05-16T19:33:06.666575+07:00,Hồ Chí Minh,44,6.4,75,pm25,8
2025-05-16T20:27:38.655221+07:00,Hồ Chí Minh,49,1.6,75,pm25,9
2025-05-16T21:15:57.186149+07:00,Hồ Chí Minh,58,11.3,74,pm25,13
2025-05-16T22:14:56.265796+07:00,Hồ Chí Minh,62,8.1,74,pm25,14.9
2025-05-16T23:19:46.269602+07:00,Hồ Chí Minh,64,9.7,74,pm25,16
2025-05-17T00:13:14.993324+07:00,Hồ Chí Minh,66,3.2,77,pm25,16.9
2025-05-17T01:22:15.972765+07:00,Hồ Chí Minh,65,3.2,78,pm25,16.5
2025-05-17T02:13:08.994408+07:00,Hồ Chí Minh,66,10.8,78,pm25,17.4
2025-05-17T03:17:47.220866+07:00,Hồ Chí Minh,75,3.2,83,pm25,22
2025-05-17T04:14:59.962850+07:00,Hồ Chí Minh,86,1.6,85,pm25,27.9
2025-05-17T05:15:14.781204+07:00,Hồ Chí Minh,126,3.2,85,pm25,45.5
2025-05-17T06:15:09.348245+07:00,Hồ Chí Minh,155,1.6,84,pm25,61.7
2025-05-17T08:16:14.218107+07:00,Hồ Chí Minh,153,4.8,78,pm25,58.5
2025-05-17T10:04:47.844352+07:00,Hồ Chí Minh,112,1.6,68,pm25,40
2025-05-17T11:19:05.233222+07:00,Hồ Chí Minh,58,10.8,67,pm25,13
2025-05-17T12:14:59.546658+07:00,Hồ Chí Minh,53,9.9,65,pm25,10
2025-05-17T13:20:52.971029+07:00,Hồ Chí Minh,44,7.7,52,pm25,8
2025-05-17T14:14:34.087850+07:00,Hồ Chí Minh,56,14.5,62,pm25,12
2025-05-17T15:19:08.290020+07:00,Hồ Chí Minh,58,4.8,68,pm25,13
2025-05-17T16:15:27.852214+07:00,Hồ Chí Minh,61,16.1,70,pm25,14.5
2025-05-17T17:15:55.555229+07:00,Hồ Chí Minh,65,20.6,70,pm25,16.5
2025-05-17T18:12:23.963169+07:00,Hồ Chí Minh,66,4.8,74,pm25,17
2025-05-17T19:29:33.184179+07:00,Hồ Chí Minh,69,6.4,75,pm25,19
2025-05-17T20:22:29.908918+07:00,Hồ Chí Minh,75,3.2,76,pm25,21.9
2025-05-17T21:13:28.238770+07:00,Hồ Chí Minh,80,9.6,77,pm25,24.9
2025-05-17T22:14:48.553757+07:00,Hồ Chí Minh,79,6.4,77,pm25,24
2025-05-17T23:00:17.986903+07:00,Hồ Chí Minh,77,6.4,77,pm25,23
2025-05-17T23:21:49.915833+07:00,Hồ Chí Minh,67,4.8,71,pm25,18
2025-05-17T23:35:38.784664+07:00,Hồ Chí Minh,67,4.8,71,pm25,18
2025-05-17T23:18:16.260992+07:00,Hồ Chí Minh,67,4.8,71,pm25,18
2025-05-18T00:12:57.451791+07:00,Hồ Chí Minh,58,8.1,73,pm25,13
2025-05-18T01:20:20.999628+07:00,Hồ Chí Minh,55,1.6,74,pm25,11.5
2025-05-18T02:12:48.757584+07:00,Hồ Chí Minh,54,9.6,74,pm25,11
2025-05-18T03:16:37.825596+07:00,Hồ Chí Minh,54,4.8,74,pm25,11
2025-05-18T04:13:54.759078+07:00,Hồ Chí Minh,52,1.6,75,pm25,10
2025-05-18T05:14:00.006369+07:00,Hồ Chí Minh,63,3.2,77,pm25,15.5
2025-05-18T06:14:34.830302+07:00,Hồ Chí Minh,81,3.2,78,pm25,25
2025-05-18T08:22:37.260016+07:00,Hồ Chí Minh,80,6.4,72,pm25,24.4
2025-05-18T10:15:09.788891+07:00,Hồ Chí Minh,64,4.8,65,pm25,15.9
2025-05-18T11:21:48.385082+07:00,Hồ Chí Minh,62,3.2,65,pm25,15
2025-05-18T12:15:38.290727+07:00,Hồ Chí Minh,56,3.2,63,pm25,12
2025-05-18T13:21:51.061120+07:00,Hồ Chí Minh,50,9.6,57,pm25,9
2025-05-18T14:14:10.509220+07:00,Hồ Chí Minh,39,9.6,66,pm25,7
2025-05-18T15:18:48.622290+07:00,Hồ Chí Minh,33,9.6,64,pm25,6
2025-05-18T16:15:14.567813+07:00,Hồ Chí Minh,28,20.9,68,pm25,5
2025-05-18T17:15:56.395507+07:00,Hồ Chí Minh,33,17.7,69,pm25,6
2025-05-18T18:12:15.238765+07:00,Hồ Chí Minh,44,9.6,71,pm25,8
2025-05-18T19:29:51.931254+07:00,Hồ Chí Minh,49,6.4,75,pm25,9
2025-05-18T20:22:55.780359+07:00,Hồ Chí Minh,53,9.6,76,pm25,10
2025-05-18T21:13:26.103559+07:00,Hồ Chí Minh,50,9.6,75,pm25,9
2025-05-18T22:14:30.909464+07:00,Hồ Chí Minh,49,9.6,76,pm25,9
2025-05-18T23:17:48.430442+07:00,Hồ Chí Minh,50,12.9,77,pm25,9
2025-05-19T00:12:59.455725+07:00,Hồ Chí Minh,49,4.8,79,pm25,9
2025-05-19T01:20:11.259709+07:00,Hồ Chí Minh,49,13,80,pm25,9
2025-05-19T02:12:07.761220+07:00,Hồ Chí Minh,53,1.6,80,pm25,10
2025-05-19T03:16:50.624886+07:00,Hồ Chí Minh,49,8.1,79,pm25,9
2025-05-19T04:13:50.311491+07:00,Hồ Chí Minh,44,4.8,79,pm25,8
2025-05-19T05:14:22.116409+07:00,Hồ Chí Minh,44,11.3,80,pm25,8
2025-05-19T06:14:43.019702+07:00,Hồ Chí Minh,44,9.3,79,pm25,8
2025-05-19T08:21:06.818526+07:00,Hồ Chí Minh,60,16.7,72,pm25,14
2025-05-19T10:15:46.986010+07:00,Hồ Chí Minh,44,16.7,66,pm25,8
2025-05-19T11:24:35.785683+07:00,Hồ Chí Minh,38,14.8,65,pm25,7
2025-05-19T12:16:35.009659+07:00,Hồ Chí Minh,33,11.1,59,pm25,6
2025-05-19T13:24:47.078765+07:00,Hồ Chí Minh,22,24.2,63,pm25,4
2025-05-19T14:16:48.374552+07:00,Hồ Chí Minh,28,18.5,84,pm25,5
2025-05-19T15:24:09.629989+07:00,Hồ Chí Minh,28,11.3,68,pm25,5
2025-05-19T16:18:30.842234+07:00,Hồ Chí Minh,22,18.5,70,pm25,4
2025-05-19T17:18:34.657253+07:00,Hồ Chí Minh,22,18.5,66,pm25,4
2025-05-19T18:14:14.869606+07:00,Hồ Chí Minh,22,16.7,70,pm25,4
2025-05-19T19:34:38.583599+07:00,Hồ Chí Minh,17,14.8,70,pm25,3
2025-05-19T20:29:23.626130+07:00,Hồ Chí Minh,22,4.8,73,pm25,4
2025-05-19T21:16:34.714364+07:00,Hồ Chí Minh,22,4.8,75,pm25,4
2025-05-19T22:18:05.171827+07:00,Hồ Chí Minh,33,3.2,76,pm25,6
