timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-12-01T00:13:59.279491+07:00,Hồ Chí Minh,110,5.5,79,pm25,39
2025-12-01T01:22:59.324152+07:00,Hồ Chí Minh,113,7.4,78,pm25,40.3
2025-12-01T02:13:22.418507+07:00,Hồ Chí Minh,112,9.3,77,pm25,40
2025-12-01T03:18:14.471127+07:00,Hồ Chí Minh,122,3.7,76,pm25,44
2025-12-01T04:14:29.110369+07:00,Hồ Chí Minh,133,3.2,79,pm25,48.7
2025-12-01T05:15:55.489249+07:00,Hồ Chí Minh,144,3.7,81,pm25,53
2025-12-01T06:15:18.627980+07:00,Hồ Chí Minh,155,7.4,82,pm25,61.1
2025-12-01T08:42:14.422518+07:00,Hồ Chí Minh,166,6.4,72,pm25,77.7
2025-12-01T10:48:14.502248+07:00,Hồ Chí Minh,118,9.3,64,pm25,42.7
2025-12-01T11:46:34.258323+07:00,Hồ Chí Minh,101,9.3,63,pm25,35.8
2025-12-01T12:25:19.357160+07:00,Hồ Chí Minh,98,14.5,61,pm25,34.5
2025-12-01T13:28:58.782778+07:00,Hồ Chí Minh,93,11.1,60,pm25,31.4
2025-12-01T14:20:28.992553+07:00,Hồ Chí Minh,91,7.4,59,pm25,30.4
2025-12-01T15:27:06.737889+07:00,Hồ Chí Minh,91,11.1,60,pm25,30.4
2025-12-01T16:24:54.143023+07:00,Hồ Chí Minh,91,14.8,61,pm25,30.9
2025-12-01T17:20:16.078336+07:00,Hồ Chí Minh,87,13,63,pm25,28.5
2025-12-01T18:15:34.034037+07:00,Hồ Chí Minh,92,14.8,66,pm25,31
2025-12-01T19:37:11.892129+07:00,Hồ Chí Minh,93,11.1,62,pm25,31.8
2025-12-01T20:33:04.250917+07:00,Hồ Chí Minh,109,11.1,70,pm25,38.7
2025-12-01T21:18:27.384229+07:00,Hồ Chí Minh,129,11.1,70,pm25,47
2025-12-01T22:19:01.965269+07:00,Hồ Chí Minh,149,9.3,66,pm25,55
2025-12-01T23:24:47.968602+07:00,Hồ Chí Minh,135,5.5,66,pm25,49.4
2025-12-02T00:19:13.961094+07:00,Hồ Chí Minh,115,5.5,84,pm25,41
2025-12-02T01:28:37.042872+07:00,Hồ Chí Minh,107,9.3,89,pm25,38
2025-12-02T02:18:53.426918+07:00,Hồ Chí Minh,117,9.3,89,pm25,42
2025-12-02T03:17:52.778027+07:00,Hồ Chí Minh,121,5.5,89,pm25,43.6
2025-12-02T04:14:36.136092+07:00,Hồ Chí Minh,140,9.3,83,pm25,51.5
2025-12-02T05:14:36.744016+07:00,Hồ Chí Minh,152,9.3,94,pm25,57
2025-12-02T06:16:29.029279+07:00,Hồ Chí Minh,152,11.1,89,pm25,57.5
2025-12-02T08:19:45.839596+07:00,Hồ Chí Minh,124,7.4,85,pm25,45
2025-12-02T10:16:11.994900+07:00,Hồ Chí Minh,126,7.4,76,pm25,45.5
2025-12-02T11:27:41.449394+07:00,Hồ Chí Minh,129,9.3,72,pm25,47
2025-12-02T12:17:25.566896+07:00,Hồ Chí Minh,137,7.4,67,pm25,50.2
