timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-11-01T00:15:31.248941+07:00,Hưng Yên,69,13.1,92,pm25,18.7
2025-11-01T01:24:30.919728+07:00,Hưng Yên,69,13.9,93,pm25,18.7
2025-11-01T02:11:24.147980+07:00,Hưng Yên,71,14.6,92,pm25,20
2025-11-01T03:18:46.603085+07:00,Hưng Yên,67,15.3,92,pm25,17.9
2025-11-01T04:13:53.554557+07:00,Hưng Yên,67,15.6,92,pm25,17.9
2025-11-01T05:15:18.903808+07:00,Hưng Yên,68,15.8,92,pm25,18.2
2025-11-01T06:14:55.146426+07:00,Hưng Yên,63,15.8,94,pm25,15.5
2025-11-01T08:20:31.947172+07:00,Hưng Yên,54,13,93,pm25,10.7
2025-11-01T10:08:56.372944+07:00,Hưng Yên,54,13.9,90,pm25,10.8
2025-11-01T11:17:37.837761+07:00,Hưng Yên,53,14.9,88,pm25,10.3
2025-11-01T12:15:23.715827+07:00,Hưng Yên,57,16.1,88,pm25,12.5
2025-11-01T13:22:10.090106+07:00,Hưng Yên,59,14.8,86,pm25,13.6
2025-11-01T14:14:18.560984+07:00,Hưng Yên,57,12.5,86,pm25,12.4
2025-11-01T15:19:17.838521+07:00,Hưng Yên,59,12.3,87,pm25,13.7
2025-11-01T16:15:29.464798+07:00,Hưng Yên,60,12.4,88,pm25,13.9
2025-11-01T17:15:55.257753+07:00,Hưng Yên,57,12,88,pm25,12.4
2025-11-01T18:12:06.511797+07:00,Hưng Yên,60,9.9,88,pm25,14.2
2025-11-01T19:30:05.980194+07:00,Hưng Yên,58,10,88,pm25,12.9
2025-11-01T20:21:04.599878+07:00,Hưng Yên,57,9.6,89,pm25,12.6
2025-11-01T21:13:16.112824+07:00,Hưng Yên,70,10.7,89,pm25,19.3
2025-11-01T22:13:56.200923+07:00,Hưng Yên,77,11.2,89,pm25,23
2025-11-01T23:17:10.511694+07:00,Hưng Yên,70,11.3,89,pm25,19.3
2025-11-02T00:12:50.840081+07:00,Hưng Yên,62,11.1,88,pm25,15.1
2025-11-02T01:20:40.226800+07:00,Hưng Yên,63,10.7,87,pm25,15.5
2025-11-02T02:11:16.931859+07:00,Hưng Yên,64,10.8,87,pm25,16.3
2025-11-02T03:15:43.678933+07:00,Hưng Yên,59,10.4,86,pm25,13.5
2025-11-02T04:12:49.351155+07:00,Hưng Yên,58,10.8,88,pm25,12.8
2025-11-02T05:13:59.046438+07:00,Hưng Yên,53,11.2,86,pm25,10
2025-11-02T06:13:59.710711+07:00,Hưng Yên,50,9.8,86,pm25,9
2025-11-02T08:21:14.001481+07:00,Hưng Yên,52,9.5,86,pm25,9.9
2025-11-02T10:12:54.797925+07:00,Hưng Yên,52,12.7,85,pm25,9.7
2025-11-02T11:19:44.753367+07:00,Hưng Yên,53,14,86,pm25,10
2025-11-02T12:15:51.429166+07:00,Hưng Yên,52,15.2,85,pm25,9.6
2025-11-02T13:23:20.643072+07:00,Hưng Yên,54,18,86,pm25,10.8
