timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2026-02-01T00:20:42.608858+07:00,Hải Phòng,92,11.1,77,pm25,31
2026-02-01T01:27:24.931100+07:00,Hải Phòng,84,11.1,77,pm25,27
2026-02-01T02:18:27.693572+07:00,Hải Phòng,90,11.1,72,pm25,30
2026-02-01T03:21:47.459818+07:00,Hải Phòng,82,7.4,72,pm25,26
2026-02-01T04:18:32.968221+07:00,Hải Phòng,84,9.3,72,pm25,27
2026-02-01T05:19:19.468942+07:00,Hải Phòng,84,9.3,72,pm25,27
2026-02-01T06:18:46.494256+07:00,Hải Phòng,90,7.4,72,pm25,30
2026-02-01T09:03:38.314313+07:00,Hải Phòng,94,5.5,72,pm25,32
2026-02-01T11:58:17.099636+07:00,Hải Phòng,84,9.3,60,pm25,27
2026-02-01T13:00:49.823304+07:00,Hải Phòng,86,7.4,60,pm25,28
2026-02-01T14:35:13.282351+07:00,Hải Phòng,92,7.4,56,pm25,31
2026-02-01T15:28:33.972304+07:00,Hải Phòng,96,9.3,60,pm25,33
2026-02-01T16:27:29.898122+07:00,Hải Phòng,97,13,64,pm25,34
2026-02-01T17:22:09.995833+07:00,Hải Phòng,96,13,68,pm25,33
2026-02-01T18:18:51.041274+07:00,Hải Phòng,94,9.3,72,pm25,32
2026-02-01T19:42:21.073949+07:00,Hải Phòng,97,11.1,77,pm25,34
2026-02-01T20:40:26.955251+07:00,Hải Phòng,96,11.1,77,pm25,33
2026-02-01T21:23:09.534949+07:00,Hải Phòng,92,7.4,77,pm25,31
2026-02-01T22:21:25.692311+07:00,Hải Phòng,96,3.7,82,pm25,33
2026-02-01T23:25:34.903683+07:00,Hải Phòng,102,3.7,77,pm25,36
2026-02-02T00:21:36.209183+07:00,Hải Phòng,107,7.4,82,pm25,38
2026-02-02T01:30:35.884926+07:00,Hải Phòng,105,7.4,72,pm25,37
2026-02-02T02:22:05.067682+07:00,Hải Phòng,102,7.4,72,pm25,36
2026-02-02T03:22:59.920904+07:00,Hải Phòng,105,7.4,68,pm25,37
2026-02-02T04:20:18.895291+07:00,Hải Phòng,99,9.3,72,pm25,35
2026-02-02T05:20:33.784306+07:00,Hải Phòng,99,9.3,72,pm25,35
2026-02-02T06:21:04.938713+07:00,Hải Phòng,107,7.4,72,pm25,38
2026-02-02T08:55:50.682615+07:00,Hải Phòng,117,9.3,68,pm25,42
2026-02-02T11:23:13.291847+07:00,Hải Phòng,127,7.4,64,pm25,46
2026-02-02T13:01:15.077870+07:00,Hải Phòng,115,9.3,64,pm25,41
2026-02-02T14:46:59.107891+07:00,Hải Phòng,134,9.3,49,pm25,49
2026-02-02T15:39:04.620476+07:00,Hải Phòng,134,5.5,49,pm25,49
2026-02-02T16:43:15.971776+07:00,Hải Phòng,156,5.5,49,pm25,62
2026-02-02T17:40:39.077417+07:00,Hải Phòng,162,13,53,pm25,71
2026-02-02T18:33:02.401665+07:00,Hải Phòng,167,11.1,60,pm25,78
2026-02-02T19:53:34.467868+07:00,Hải Phòng,170,11.1,68,pm25,82
2026-02-02T21:00:40.321690+07:00,Hải Phòng,174,7.4,72,pm25,88
2026-02-02T22:35:14.415948+07:00,Hải Phòng,181,9.3,77,pm25,99
2026-02-02T23:36:01.647177+07:00,Hải Phòng,179,7.4,77,pm25,96
2026-02-03T00:35:19.354666+07:00,Hải Phòng,180,7.4,77,pm25,97
2026-02-03T01:38:41.848592+07:00,Hải Phòng,179,3.7,77,pm25,96
2026-02-03T06:25:19.106798+07:00,Hải Phòng,192,0,82,pm25,114
2026-02-03T08:54:41.614790+07:00,Hải Phòng,201,3.7,94,pm25,126
2026-02-03T11:12:42.440930+07:00,Hải Phòng,144,16.7,49,pm25,53
2026-02-03T12:47:31.360957+07:00,Hải Phòng,144,14.8,49,pm25,53
2026-02-03T13:45:57.417468+07:00,Hải Phòng,132,11.1,53,pm25,48
2026-02-03T14:39:55.515430+07:00,Hải Phòng,134,18,42,pm25,49
