timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-10-01T00:14:17.993607+07:00,Hải Phòng,59,9.2,90,pm25,13.5
2025-10-01T01:21:16.499575+07:00,Hải Phòng,58,9.8,89,pm25,13
2025-10-01T02:12:32.126371+07:00,Hải Phòng,64,7.9,93,pm25,16
2025-10-01T03:17:19.394108+07:00,Hải Phòng,55,8.1,94,pm25,11.5
2025-10-01T04:13:48.118309+07:00,Hải Phòng,50,8.3,91,pm25,9
2025-10-01T05:14:44.374822+07:00,Hải Phòng,42,9.2,91,pm25,7.5
2025-10-01T06:13:55.478954+07:00,Hải Phòng,42,9,93,pm25,7.5
2025-10-01T08:20:53.668916+07:00,Hải Phòng,53,10.5,89,pm25,10
2025-10-01T10:08:27.004749+07:00,Hải Phòng,33,12.7,75,pm25,6
2025-10-01T11:18:31.681073+07:00,Hải Phòng,33,14.8,72,pm25,6
2025-10-01T12:16:08.087906+07:00,Hải Phòng,33,14.9,78,pm25,6
2025-10-01T13:24:25.670948+07:00,Hải Phòng,33,15.6,72,pm25,6
2025-10-01T14:16:01.346033+07:00,Hải Phòng,33,14.2,75,pm25,6
2025-10-01T15:21:56.104076+07:00,Hải Phòng,47,13.8,75,pm25,8.5
2025-10-01T16:17:43.603887+07:00,Hải Phòng,22,13,72,pm25,4
2025-10-01T17:17:12.258005+07:00,Hải Phòng,25,11.4,73,pm25,4.5
2025-10-01T18:14:33.818694+07:00,Hải Phòng,36,9.9,83,pm25,6.5
2025-10-01T19:35:16.431803+07:00,Hải Phòng,33,8.4,86,pm25,6
2025-10-01T20:26:47.725890+07:00,Hải Phòng,39,6.7,84,pm25,7
2025-10-01T21:16:31.262781+07:00,Hải Phòng,58,7,89,pm25,13
2025-10-01T22:16:07.033207+07:00,Hải Phòng,42,5.7,89,pm25,7.5
2025-10-01T23:20:01.073805+07:00,Hải Phòng,55,6,89,pm25,11
2025-10-02T00:14:30.162286+07:00,Hải Phòng,92,5.6,89,pm25,31
2025-10-02T01:22:50.564593+07:00,Hải Phòng,53,4.7,89,pm25,10
2025-10-02T02:12:32.094782+07:00,Hải Phòng,47,5,93,pm25,8.5
2025-10-02T03:18:11.763227+07:00,Hải Phòng,57,5.1,92,pm25,12.5
2025-10-02T04:13:59.467706+07:00,Hải Phòng,54,4.1,93,pm25,10.5
2025-10-02T05:14:37.974430+07:00,Hải Phòng,58,3.9,92,pm25,13
2025-10-02T06:13:21.888124+07:00,Hải Phòng,68,3.7,93,pm25,18
2025-10-02T08:11:15.991646+07:00,Hải Phòng,58,5.2,87,pm25,13
2025-10-02T09:54:41.465808+07:00,Hải Phòng,47,7.2,77,pm25,8.5
2025-10-02T10:27:29.725015+07:00,Hải Phòng,36,9.1,72,pm25,6.5
2025-10-02T11:18:27.599301+07:00,Hải Phòng,39,10.8,70,pm25,7
2025-10-02T12:15:02.138958+07:00,Hải Phòng,44,11.6,59,pm25,8
2025-10-02T13:23:33.285265+07:00,Hải Phòng,33,11.2,62,pm25,6
2025-10-02T14:14:55.793097+07:00,Hải Phòng,33,11.6,62,pm25,6
2025-10-02T15:20:13.439439+07:00,Hải Phòng,42,12.3,62,pm25,7.5
2025-10-02T16:16:35.794569+07:00,Hải Phòng,33,12,63,pm25,6
2025-10-02T17:15:59.767130+07:00,Hải Phòng,39,10,72,pm25,7
2025-10-02T18:12:58.021547+07:00,Hải Phòng,55,9.6,74,pm25,11.5
2025-10-02T19:31:50.505852+07:00,Hải Phòng,54,8.7,81,pm25,10.5
2025-10-02T20:23:38.234505+07:00,Hải Phòng,54,8.2,82,pm25,10.5
2025-10-02T21:15:24.545636+07:00,Hải Phòng,53,8.4,84,pm25,10
2025-10-02T22:16:11.891916+07:00,Hải Phòng,59,8.5,84,pm25,13.5
2025-10-02T23:19:28.659829+07:00,Hải Phòng,68,8.5,86,pm25,18
2025-10-03T00:11:48.458975+07:00,Hải Phòng,50,7.6,90,pm25,9
2025-10-03T01:22:42.366561+07:00,Hải Phòng,57,5.7,90,pm25,12.5
2025-10-03T02:12:37.959732+07:00,Hải Phòng,85,4.4,87,pm25,27.5
2025-10-03T03:17:08.634956+07:00,Hải Phòng,55,4.1,89,pm25,11.5
2025-10-03T04:13:23.809379+07:00,Hải Phòng,62,4.4,93,pm25,15
2025-10-03T05:14:28.638624+07:00,Hải Phòng,70,4.9,89,pm25,19.5
